"zip","zip5","n","value","region","county.fips.character","county.name","state.name","state.fips.character","state.abb","city","state","latitude","longitude"
"30519","30519-5077",1,0,13135,"13135","gwinnett","georgia","13","GA","Buford","GA",34.089419,-83.94701
"30528","30528-3756",1,0,13311,"13311","white","georgia","13","GA","Cleveland","GA",34.595859,-83.76194
"30528","30528-8827",1,0,13311,"13311","white","georgia","13","GA","Cleveland","GA",34.595859,-83.76194
"30533","30533",1,0,13187,"13187","lumpkin","georgia","13","GA","Dahlonega","GA",34.542098,-83.99718
"30533","30533-6710",1,7000,13187,"13187","lumpkin","georgia","13","GA","Dahlonega","GA",34.542098,-83.99718
"30536","30536-4411",1,0,13123,"13123","gilmer","georgia","13","GA","Ellijay","GA",34.66,-84.33
"30542","30542",1,5250,13139,"13139","hall","georgia","13","GA","Flowery Branch","GA",34.188281,-83.91813
"30546","30546-1707",1,7000,13281,"13281","towns","georgia","13","GA","Hiawassee","GA",34.923847,-83.7231
"30549","30549",1,3500,13157,"13157","jackson","georgia","13","GA","Jefferson","GA",34.112581,-83.58251
"30549","30549-6970",1,0,13157,"13157","jackson","georgia","13","GA","Jefferson","GA",34.112581,-83.58251
"30567","30567-3403",1,0,13157,"13157","jackson","georgia","13","GA","Pendergrass","GA",34.167309,-83.68536
"30568","30568-1808",1,3500,13241,"13241","rabun","georgia","13","GA","Rabun Gap","GA",34.952452,-83.4073
"30601","30601",1,0,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.979016,-83.36423
"30601","30601-3362",1,0,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.979016,-83.36423
"30605","30605",1,5250,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.925085,-83.34529
"30605","30605-3724",1,0,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.925085,-83.34529
"30606","30606",1,0,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.945619,-83.41732
"30606","30606-0837",1,3500,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.945619,-83.41732
"30607","30607-1925",1,0,13157,"13157","jackson","georgia","13","GA","Athens","GA",34.013154,-83.43565
"30609","30609",1,0,13059,"13059","clarke","georgia","13","GA","Athens","GA",33.946364,-83.37743
"30622","30622",1,0,13219,"13219","oconee","georgia","13","GA","Bogart","GA",33.927792,-83.51552
"30622","30622-5902",2,0,13219,"13219","oconee","georgia","13","GA","Bogart","GA",33.927792,-83.51552
"30629","30629-1821",1,0,13195,"13195","madison","georgia","13","GA","Comer","GA",34.072573,-83.11913
"30629","30629-2145",1,3500,13195,"13195","madison","georgia","13","GA","Comer","GA",34.072573,-83.11913
"30635","30635",1,7000,13105,"13105","elbert","georgia","13","GA","Elberton","GA",34.119972,-82.825
"30635","30635-2506",1,3500,13105,"13105","elbert","georgia","13","GA","Elberton","GA",34.119972,-82.825
"30642","30642-3265",1,0,13133,"13133","greene","georgia","13","GA","Greensboro","GA",33.547041,-83.19797
"30646","30646-4466",1,3500,13195,"13195","madison","georgia","13","GA","Hull","GA",34.065588,-83.31318
"30662","30662-1786",1,0,13119,"13119","franklin","georgia","13","GA","Royston","GA",34.270167,-83.12842
"30673","30673-1318",1,0,13317,"13317","wilkes","georgia","13","GA","Washington","GA",33.728754,-82.72612
"30677","30677",1,0,13219,"13219","oconee","georgia","13","GA","Watkinsville","GA",33.849286,-83.41232
"30680","30680-3548",1,1750,13013,"13013","barrow","georgia","13","GA","Winder","GA",33.992538,-83.71061
"30701","30701-2537",1,0,13129,"13129","gordon","georgia","13","GA","Calhoun","GA",34.4966,-84.93798
"30701","30701-5532",1,0,13129,"13129","gordon","georgia","13","GA","Calhoun","GA",34.4966,-84.93798
"30720","30720-3025",1,3500,13313,"13313","whitfield","georgia","13","GA","Dalton","GA",34.766095,-84.9865
"30736","30736",1,3500,13047,"13047","catoosa","georgia","13","GA","Ringgold","GA",34.916552,-85.14435
"30740","30740-6706",1,7000,13313,"13313","whitfield","georgia","13","GA","Rocky Face","GA",34.757918,-85.05879
"30742","30742-3919",1,0,13047,"13047","catoosa","georgia","13","GA","Fort Oglethorpe","GA",34.948979,-85.25212
"30747","30747-5815",1,0,13055,"13055","chattooga","georgia","13","GA","Summerville","GA",34.489848,-85.32928
"30809","30809-3245",1,0,13073,"13073","columbia","georgia","13","GA","Evans","GA",33.551145,-82.13949
"30809","30809-3828",1,0,13073,"13073","columbia","georgia","13","GA","Evans","GA",33.551145,-82.13949
"30907","30907-3034",1,3500,13073,"13073","columbia","georgia","13","GA","Augusta","GA",33.512541,-82.09491
"30907","30907-3299",1,0,13073,"13073","columbia","georgia","13","GA","Augusta","GA",33.512541,-82.09491
"30909","30909",1,0,13245,"13245","richmond","georgia","13","GA","Augusta","GA",33.475936,-82.0697
"31005","31005-3716",2,3500,13153,"13153","houston","georgia","13","GA","Bonaire","GA",32.556668,-83.62435
"31023","31023-8022",1,5250,13091,"13091","dodge","georgia","13","GA","Eastman","GA",32.193953,-83.1848
"31028","31028",1,3500,13153,"13153","houston","georgia","13","GA","Centerville","GA",32.632111,-83.67795
"31036","31036-4508",1,7000,13235,"13235","pulaski","georgia","13","GA","Hawkinsville","GA",32.270314,-83.48517
"31047","31047",1,7000,13153,"13153","houston","georgia","13","GA","Kathleen","GA",32.509384,-83.64773
"31069","31069-6933",1,5250,13153,"13153","houston","georgia","13","GA","Perry","GA",32.460791,-83.73541
"31088","31088",1,0,13153,"13153","houston","georgia","13","GA","Warner Robins","GA",32.594698,-83.64873
"31204","31204",1,7000,13021,"13021","bibb","georgia","13","GA","Macon","GA",32.844872,-83.67119
"31204","31204-1228",1,0,13021,"13021","bibb","georgia","13","GA","Macon","GA",32.844872,-83.67119
"31408","31408-9579",1,0,13051,"13051","chatham","georgia","13","GA","Savannah","GA",32.106705,-81.16915
"31501","31501-7630",1,0,13299,"13299","ware","georgia","13","GA","Waycross","GA",31.220059,-82.35133
"31516","31516",1,3500,13229,"13229","pierce","georgia","13","GA","Blackshear","GA",31.307234,-82.25779
"31516","31516-4453",1,0,13229,"13229","pierce","georgia","13","GA","Blackshear","GA",31.307234,-82.25779
"31522","31522-1300",1,3500,13127,"13127","glynn","georgia","13","GA","Saint Simons Island","GA",31.176516,-81.3802
"31522","31522-5502",1,0,13127,"13127","glynn","georgia","13","GA","Saint Simons Island","GA",31.176516,-81.3802
"31523","31523-1406",1,7000,13127,"13127","glynn","georgia","13","GA","Brunswick","GA",31.212705,-81.60975
"31525","31525-9757",1,3500,13127,"13127","glynn","georgia","13","GA","Brunswick","GA",31.260995,-81.49832
"31535","31535-5040",1,0,13069,"13069","coffee","georgia","13","GA","Douglas","GA",31.464973,-82.86325
"31555","31555-9006",1,0,13305,"13305","wayne","georgia","13","GA","Odum","GA",31.670475,-82.04944
"31556","31556",1,0,13229,"13229","pierce","georgia","13","GA","Offerman","GA",31.412649,-82.115541
"31636","31636-5923",1,0,13185,"13185","lowndes","georgia","13","GA","Lake Park","GA",30.72289,-83.13302
"31645","31645-8805",1,0,13019,"13019","berrien","georgia","13","GA","Ray City","GA",31.070627,-83.20286
"31716","31716",1,0,13205,"13205","mitchell","georgia","13","GA","Baconton","GA",31.3709,-84.12921
"31719","31719-8650",1,0,13261,"13261","sumter","georgia","13","GA","Americus","GA",32.085491,-84.252665
"31768","31768",1,7000,13071,"13071","colquitt","georgia","13","GA","Moultrie","GA",31.165358,-83.77172
"31773","31773-1588",1,3500,13275,"13275","thomas","georgia","13","GA","Ochlocknee","GA",30.977162,-84.0615
"31788","31788-2096",1,3500,13071,"13071","colquitt","georgia","13","GA","White House","TN",31.138011,-83.716729
"31794","31794-2206",1,0,13277,"13277","tift","georgia","13","GA","Tifton","GA",31.459666,-83.51083
"31801","31801-8744",1,3500,13263,"13263","talbot","georgia","13","GA","Box Springs","GA",32.527813,-84.59822
"31827","31827-2404",1,0,13263,"13263","talbot","georgia","13","GA","Talbotton","GA",32.683146,-84.52243
"31833","31833-4836",1,0,13145,"13145","harris","georgia","13","GA","West Point","GA",32.867469,-85.13779
"31903","31903-2624",1,0,13215,"13215","muscogee","georgia","13","GA","Columbus","GA",32.423311,-84.94879
"31904","31904-8308",1,3500,13215,"13215","muscogee","georgia","13","GA","Columbus","GA",32.513391,-84.97753
"31909","31909",1,3500,13215,"13215","muscogee","georgia","13","GA","Columbus","GA",32.53554,-84.92583
"31909","31909-1622",1,0,13215,"13215","muscogee","georgia","13","GA","Columbus","GA",32.53554,-84.92583
"39819","39819-4620",1,0,13087,"13087","decatur","georgia","13","GA","Bainbridge","GA",30.8,-84.5
"39819","39819-4862",1,0,13087,"13087","decatur","georgia","13","GA","Bainbridge","GA",30.8,-84.5
"39837","39837-5742",1,0,13201,"13201","miller","georgia","13","GA","Colquitt","GA",31.15,-84.67
"39845","39845-6955",1,3500,13253,"13253","seminole","georgia","13","GA","Donalsonville","GA",31.04,-84.87
